product_name
"Go Cheese Plain Spread, 200g (soft and creamy)"
GO CHEESE CUBES 200GM
GO CHEESE SLICE 200GM
"FROZEN VEG SOY CHAP, 500gm"
"Go Cheese Plain Spread, 200g (soft and creamy)"
GO CHEESE CUBES 200GM
GO CHEESE SLICE 200GM
"FROZEN VEG SOY CHAP, 500gm"
"Go Cheese Plain Spread, 200g (soft and creamy)"
FROZEN PEAS (MATAR) 500GM
FROZEN PEAS (MATAR) 1KG
AMERICAN SWEET CORN 1KG
"FROZEN VEG SOY CHAP, 500gm"
FROZEN MIX VEGETABLES 500gm PACKET
Paneer 250gm
"McCain Aloo Tikki Patty, 400g (Regular Pack)"
"McCain Smiles, 750 (Value pack)"
"McCain Variety Smiles, Chilly, Garlic, Bytes and Masala Fries - Trial Pack 550g"
"McCain Veggie Finger, 400gm (Regular Pack)"
"McCain Potato Cheese Shotz, 400g (Regular Pack)"
"McCain Smiles, 415gm (Regular Pack"
"McCain Veggie Nuggets, 325g"
"McCain Cheese Corn Samosa, 540gm"
"McCain French Fries Regular Pack, 750gm"
"McCain French Fries Regular Pack, 420g"
"Del Monte Food Craft Penne Pasta, 1kg"
"Del Monte Pasta, Fusilli,1kg"
"Del Monte Elbow Pasta (Macaroni), 1kg"
"Parle G biscuits, 65gm (pack of 24)"
"Parle Monaco Cheeslings, Classic, 150gm"
"Parle Milano Choco Delight Centre Filled Cookies, 250gm"
"Parle Krackjack Biscuits, 75gm"
"Parle- G Gold, 200gm"
"Parle G Glucose Biscuits,800gm"
"Parle Hide and Seek Chocolate Chip Cookies, 120gm"
"Parle Rusk, Elaichi, 200gm"
