Name,ImageLink
Himalaya Pure Hands Sanitizer Orange 500 ml ( Pack of 1 ),https://assetscdn1.paytm.com/images/catalog/category/101390/0.png?imwidth=128&impolicy=hq
FLOH hand sanitizer with 70% IPA and vitamin E - 60 ml( Pack of 2 ),https://assetscdn1.paytm.com/images/catalog/category/197731/2.jpg?imwidth=128&impolicy=hq
"Cipla Ciphands (Antiseptic Hand Sanitizer), 72% alcohol 500 ml Pack of 1",https://assetscdn1.paytm.com/images/catalog/category/197730/0.JPG?imwidth=128&impolicy=hq
Dwarikesh Hand Sanitizer 5L,https://assetscdn1.paytm.com/images/catalog/category/101548/0.png?imwidth=128&impolicy=hq
"VLCC Hand Sanitizer 500ml, 72% Alcohol   (Pack of 2)",https://assetscdn1.paytm.com/images/catalog/category/101382/0.jpg?imwidth=128&impolicy=hq
"Theruptor Hand Sanitizer 500 ml, 70% alcohol (Pack of 2)",https://assetscdn1.paytm.com/images/catalog/category/101551/0.png?imwidth=128&impolicy=hq
"Stericlean-M Hand Sanitizer,75% Alcohol Content 500 ml (Pack of 1)",https://assetscdn1.paytm.com/images/catalog/category/101384/0.png?imwidth=128&impolicy=hq
"Inatur Moisturising Hand Sanitizer,70% Alcohol Content, 500 ml ( Pack of 1)",https://assetscdn1.paytm.com/images/catalog/category/101392/1.jpg?imwidth=128&impolicy=hq
Earthvedic Instant Hand Sanitizer 500 ml 70% Spray,https://assetscdn1.paytm.com/images/catalog/category/126602/0.jpg?imwidth=128&impolicy=hq
Dr. Morepen Protect Instant Hand Sanitizer Gel 70% alcohol With Lemon Extract 500 ml Pack of 1,https://assetscdn1.paytm.com/images/catalog/category/101558/1.png?imwidth=128&impolicy=hq
Medimade Sanitizer 70% Alcohol 200ml,https://assetscdn1.paytm.com/images/catalog/category/101441/0.png?imwidth=128&impolicy=hq
Axiom Medicated Hand Sanitizer 5L with Chlorhexidine Gluconate Solution,https://assetscdn1.paytm.com/images/catalog/category/126601/0.jpg?imwidth=128&impolicy=hq
"YDEE Hand Sanitizer,65% Alcohol Content - 100 ML ( Pack of 4 )",https://assetscdn1.paytm.com/images/catalog/category/101512/0.png?imwidth=128&impolicy=hq
Rub Clean Combo of Sanitizer 500 ml x 6; 3ply Mask 200 pcs; Kieyyuel KN95 Mask 50 pcs And IR Non Contact Thermometer,https://assetscdn1.paytm.com/images/catalog/category/101545/1.png?imwidth=128&impolicy=hq
Mrs Green 70% Alcohol Based Hand Sanitizer infused with Herbal extracts of Neem & Aloevera - 300ml,https://assetscdn1.paytm.com/images/catalog/category/101443/1.png?imwidth=128&impolicy=hq
"Umanac Instant Hand Sanitizer Blue Lemon - 80% Alcohol Content, 500 ml ( Pack of 2 )",
